cpf,numeroConta,numeroCartao,Ranking
18046079841,5100505060838687527,2097828104877643350,B
19974418174,3734691036231006407,1859250029958853094,C
57592060867,9137303252377621590,4406310969116244310,D
58786539667,7371981849626719067,8662935602139361806,C
65452492546,7015125135522882472,2221178412350049228,B
99277066452,2557966782415849746,8811494630034294659,C
19776473992,6822639935713982272,3754111256743661149,C
74110614705,8265635831517948901,3928540047132027033,B
22062520232,9320441134075820929,9282991990151062705,B
39570740254,2741771203077608956,6789379147899447295,C
99896180081,3517045087554945233,7033983211839091764,B
41799130791,7359473343607800089,4702588942846022670,C
50931504188,3003150794076710035,7686376109209328626,C
56732327477,4140740321026855819,1420762917763513005,D
87500973828,6636928510938057173,5293274638336802418,C
15423867347,2277342789728390831,7322617185967035892,B
12455395730,2728229191973505755,2018863427353321862,D
84474523886,4786033358103195302,6398700585147320865,C
19069735601,7529256254450454584,4919700726897060426,B
59574196599,5987735723045910031,9850951717103778381,B
43845091401,1369127631158424704,6768276271492680668,B
99018603295,1688448569925486531,7995787048399263899,C
78522309326,4091471849199976028,4040476162659718185,B
75087239369,9189143119523348744,9535088513587066759,D
50451335134,7126774377588102263,9474415246534820407,B
99001409720,4453308607016054276,8710076935947532709,C
47859929132,3149020114543288620,7366383224715582905,C
24223541462,8052935900289520732,7051469387555919577,B
73442960670,6979600270712173693,5356204212536182175,C
15069236678,8546533714266049397,1537632827576326136,C
68835969421,3264846411998957687,5842820965220989115,D
79503048754,6695922676187822568,9842814892451731379,D
17254004298,9993050979709406536,2021749197564812204,C
89293500258,6178947900802002314,3476520071877306458,B
22380757661,2456502494359880973,4639788626281374173,C
93350673283,6549945211800505465,5011006593344652499,B
69917714457,4123533710617892957,2059991203198584396,C
97027400102,8242561536640796139,1567693132952162881,D
93062361182,1368909014994179402,3274939596266540547,B
31270102900,7340647252850864085,7569092643787043798,B
71516192078,2029464990831796864,6280178298350890784,B
84624342808,4785574852466723788,2785851836714397184,C
27429191077,6975314054166816850,1621538991000686727,B
16732691201,5369902178479098697,6387755504531708788,B
37547950189,9254343258874450704,5370424382387778458,B
74140138588,5110353534406189686,7342446292325663993,B
74364211137,1244331215601368664,7830825305519323291,D
31403356078,6018973273932396300,2819968017113291063,B
29038788191,6905732354064375168,4784262263178644628,C
66070241053,5222857289260680109,8586615345045253962,B
48441819720,9720106641106700843,1904514340905881950,C
27322007577,6934141591428687211,3937592912024275219,B
21327174410,7158139394784720321,2477810412901781007,C
20309266980,5355102607017751639,3926484204581876045,B
60198045502,4525508577325387272,5135617382325607139,B
86432908961,6665762629844875410,3057275898417253264,C
91736307877,4435422239813189566,5635013328674774075,B
91521714120,1290646167084393139,2974169855182017040,B
50339739068,2833475248431910269,9099128566112041043,B
31624860845,4721019919406272545,4407983736600203605,B
95414602782,1890033322214808000,5523094678598563408,B
70934307151,8535759728103016113,9566663453017906592,D
54031227434,9843723831840771745,4608599435471789557,C
74208056850,8475224645032528787,8021285118853819569,B
83842047333,2918850073340337245,8310574497594731024,B
93106068687,6574003981909957381,4657199808229123314,B
81248089811,1529102760384613018,8951248413912407847,C
25068234322,2900662362648880952,7678345082037594997,C
15276406116,8146229991086420430,6240418994616613832,B
63911002422,8502537911086931400,9981681561230815287,C
50932576102,8256512126019054974,1907648325684129151,D
99208190859,8418255865227489404,9471672307472489025,B
37086486406,1659853499621517908,6098526122626728180,D
24938090522,5250653845999735350,4268401679940861752,D
30895238923,9178339258968368381,4240438437108018644,B
81343868053,1664002934699929284,3992840699991681102,B
13376746805,6851844869884726897,7870524193251522107,C
45200229716,9442488101645082552,9521074033125599027,B
